Company Size,Industry,Revenue,Location,Employee Turnover Rate,Employee Skillset,Job Openings,Recruitment Budget,Company Age,Growth Rate,Likely to Hire
150,Technology,50000000,San Francisco,10,Python,10,50000,5,8,Yes
300,Healthcare,8000000,New York,5,Java,5,30000,10,5,No
75,Finance,20000000,London,8,SQL,8,40000,3,12,Yes
200,Technology,35000000,Bangalore,12,C++,15,60000,7,10,Yes
100,Finance,15000000,Chicago,6,Management,3,20000,4,6,No
250,Healthcare,6000000,Los Angeles,7,Python,6,35000,9,3,Yes
180,Technology,45000000,San Francisco,9,JavaScript,12,55000,6,9,Yes
220,Finance,18000000,London,6,SQL,7,38000,5,7,No
120,Healthcare,7000000,New York,8,Java,4,32000,8,4,Yes
350,Technology,60000000,Bangalore,11,Python,20,70000,9,11,Yes
170,Finance,22000000,Chicago,7,Management,6,25000,6,8,No
280,Healthcare,7500000,Los Angeles,10,Python,8,40000,7,5,Yes
200,Technology,40000000,San Francisco,8,C++,14,60000,8,10,Yes
80,Finance,25000000,London,5,SQL,9,45000,4,14,No
150,Healthcare,6500000,New York,9,Java,5,35000,5,6,Yes
230,Technology,50000000,Bangalore,12,JavaScript,18,65000,10,12,Yes
100,Finance,17000000,Chicago,6,Management,4,22000,3,5,No
300,Healthcare,8000000,Los Angeles,7,Python,6,38000,8,4,Yes
250,Technology,55000000,San Francisco,10,Python,16,60000,11,9,Yes
120,Finance,20000000,London,8,SQL,7,35000,5,7,No
180,Healthcare,7000000,New York,9,Java,5,32000,5,6,Yes
250,Technology,50000000,Bangalore,12,JavaScript,18,65000,10,12,Yes
100,Finance,17000000,Chicago,6,Management,4,22000,3,5,No
300,Healthcare,8000000,Los Angeles,7,Python,6,38000,8,4,Yes
250,Technology,55000000,San Francisco,10,Python,16,60000,11,9,Yes
120,Finance,20000000,London,8,SQL,7,35000,5,7,No
220,Healthcare,7500000,New York,10,Java,6,34000,6,5,Yes
170,Technology,40000000,Bangalore,9,C++,14,60000,7,10,Yes
80,Finance,25000000,Chicago,5,Management,9,50000,4,14,No
150,Healthcare,6500000,Los Angeles,9,Python,5,35000,5,6,Yes
200,Technology,50000000,San Francisco,12,JavaScript,20,70000,10,12,Yes
100,Finance,18000000,London,6,SQL,7,38000,5,7,No
280,Healthcare,7500000,New York,8,Java,8,38000,7,5,Yes
350,Technology,60000000,Bangalore,11,Python,22,75000,9,11,Yes
120,Finance,22000000,Chicago,7,Management,5,28000,6,8,No
220,Healthcare,8000000,Los Angeles,8,Python,6,36000,8,4,Yes
150,Technology,45000000,San Francisco,10,Python,12,55000,7,9,Yes
170,Finance,22000000,London,6,SQL,8,40000,6,8,No
300,Healthcare,8000000,New York,7,Java,6,32000,8,4,Yes
250,Technology,50000000,Bangalore,12,JavaScript,17,65000,10,12,Yes
180,Finance,7000000,Chicago,8,Management,6,30000,6,7,No
230,Healthcare,8000000,New York,9,Java,5,34000,5,6,Yes
250,Technology,50000000,Bangalore,12,JavaScript,19,67000,10,12,Yes
100,Finance,17000000,London,6,SQL,7,35000,3,5,No
300,Healthcare,8000000,Los Angeles,7,Python,6,38000,8,4,Yes
250,Technology,55000000,San Francisco,10,Python,17,62000,11,9,Yes
120,Finance,20000000,Chicago,8,SQL,7,36000,5,7,No
220,Healthcare,7500000,New York,9,Java,6,35000,6,5,Yes
170,Technology,40000000,Bangalore,10,C++,13,58000,7,10,Yes
80,Finance,25000000,London,5,Management,8,45000,4,14,No
150,Healthcare,6500000,Los Angeles,8,Python,5,34000,5,6,Yes
200,Technology,50000000,San Francisco,12,JavaScript,21,72000,10,12,Yes
100,Finance,18000000,Chicago,7,SQL,6,32000,3,5,No
280,Healthcare,7500000,New York,8,Java,7,36000,7,5,Yes
350,Technology,60000000,Bangalore,11,Python,21,78000,9,11,Yes
120,Finance,22000000,London,6,Management,4,28000,6,8,No
220,Healthcare,8000000,Los Angeles,7,Python,5,38000,8,4,Yes
150,Technology,45000000,San Francisco,10,Python,13,57000,7,9,Yes
170,Finance,22000000,London,6,SQL,9,41000,6,8,No
300,Healthcare,8000000,New York,7,Java,6,34000,8,4,Yes
250,Technology,50000000,Bangalore,12,JavaScript,18,66000,10,12,Yes
200,Finance,18000000,New York,7,Management,5,32000,4,6,Yes
300,Healthcare,7000000,Los Angeles,8,Python,6,36000,7,3,Yes
